,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,12,石山泰稚,15000,4.4,50.0,3.0,6.0,47.0,0.333,0.0,0.0,0.0,24.0,41.0,7.85,27.0,23.0,51.0,3.0,13.0,3.0,2.49
1,012,近藤弘樹,900,,,,,,,,,,,,,,,,,,,
2,14,高梨裕稔,4300,4.69,15.0,0.0,3.0,,0.0,0.0,0.0,0.0,1.0,30.0,6.69,23.0,21.0,42.0,6.0,10.0,1.0,2.23
3,014,鈴木裕太,300,,,,,,,,,,,,,,,,,,,
4,15,山下輝,1400,,,,,,,,,,,,,,,,,,,
5,015,沼田翔平,400,,,,,,,,,,,,,,,,,,,
6,16,原樹理,3800,,,,,,,,,,,,,,,,,,,
7,17,清水昇,10000,2.98,56.0,1.0,8.0,,0.111,0.0,0.0,0.0,38.0,47.0,7.79,20.0,18.0,50.0,6.0,6.0,2.0,0.99
8,18,奥川恭伸,2700,,,,,,,,,,,,,,,,,,,
9,19,石川雅規,9000,3.98,13.0,2.0,5.0,,0.286,0.0,0.0,0.0,0.0,22.0,3.13,32.0,28.0,75.0,11.0,6.0,0.0,0.85
10,019,下慎之介,300,,,,,,,,,,,,,,,,,,,
11,20,木澤尚文,3700,2.72,56.0,2.0,3.0,53.0,0.4,0.0,0.0,0.0,20.0,49.0,8.32,19.0,16.0,42.0,3.0,26.0,5.0,4.42
12,21,吉村貢司郎,1600,4.33,12.0,4.0,2.0,,0.667,0.0,0.0,0.0,0.0,46.0,6.86,31.0,29.0,66.0,9.0,14.0,2.0,2.09
13,24,星知弥,1500,3.38,47.0,2.0,2.0,40.0,0.5,0.0,0.0,0.0,20.0,48.0,10.8,15.0,15.0,34.0,4.0,16.0,1.0,3.6
14,26,山野太一,750,4.15,5.0,1.0,3.0,26.0,0.25,0.0,0.0,0.0,0.0,15.0,5.19,13.0,12.0,25.0,2.0,11.0,1.0,3.81
15,28,吉田大喜,1100,,,,,,,,,,,,,,,,,,,
16,29,小川泰弘,16000,3.38,23.0,10.0,8.0,144.0,0.556,0.0,0.0,0.0,0.0,86.0,5.38,60.0,54.0,124.0,14.0,33.0,4.0,2.06
17,34,田口麗斗,8800,1.86,50.0,3.0,5.0,,0.375,0.0,0.0,33.0,6.0,55.0,10.24,11.0,10.0,39.0,2.0,13.0,0.0,2.42
18,35,杉山晃基,680,,,,,,,,,,,,,,,,,,,
19,37,エルビン・ロドリゲス,4900,4.09,7.0,1.0,5.0,33.0,0.167,0.0,0.0,0.0,0.0,23.0,6.27,20.0,15.0,33.0,5.0,13.0,1.0,3.55
20,38,梅野雄吾,3500,3.38,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,3.0,3.0,9.0,1.0,4.0,0.0,4.5
21,40,市川悠太,750,8.36,4.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,14.0,13.0,14.0,4.0,5.0,4.0,3.21
22,41,柴田大地,1100,,,,,,,,,,,,,,,,,,,
23,43,山本大貴,950,2.55,42.0,2.0,0.0,,1.0,0.0,0.0,0.0,9.0,26.0,6.62,11.0,10.0,32.0,4.0,13.0,3.0,3.31
24,44,大西広樹,2500,3.6,46.0,2.0,2.0,55.0,0.5,0.0,0.0,0.0,6.0,35.0,5.73,23.0,22.0,53.0,3.0,12.0,3.0,1.96
25,45,小澤怜史,1100,3.02,29.0,6.0,4.0,,0.6,1.0,1.0,0.0,2.0,83.0,7.37,38.0,34.0,83.0,10.0,29.0,9.0,2.58
26,47,高橋奎二,5000,4.6,20.0,4.0,9.0,,0.308,0.0,0.0,0.0,0.0,94.0,8.32,53.0,52.0,104.0,20.0,47.0,6.0,4.16
27,48,金久保優斗,1000,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,0.0,0.0,0.0,0.0,3.0,2.0,6.75
28,49,成田翔,670,5.4,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,5.4,2.0,2.0,4.0,0.0,1.0,2.0,2.7
29,52,尾仲祐哉,600,5.17,11.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,8.0,4.6,9.0,9.0,21.0,2.0,7.0,1.0,4.02
30,53,長谷川宙輝,800,13.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,3.0,3.0,3.0,1.0,3.0,0.0,13.5
31,54,サイスニード,19500,3.67,23.0,7.0,8.0,135.0,0.467,2.0,2.0,0.0,0.0,103.0,6.87,61.0,55.0,133.0,15.0,36.0,3.0,2.4
32,56,坂本拓己,500,,,,,,,,,,,,,,,,,,,
33,58,阪口皓亮,900,3.31,13.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,17.0,9.37,7.0,6.0,19.0,0.0,6.0,0.0,3.31
34,61,久保拓眞,1300,6.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,8.0,2.0,3.0,1.0,9.0
35,62,竹山日向,550,,,,,,,,,,,,,,,,,,,
36,63,ピーターズ,10500,3.22,18.0,6.0,5.0,,0.545,0.0,0.0,0.0,0.0,66.0,5.9,41.0,36.0,99.0,8.0,21.0,5.0,1.88
37,64,大下佑馬,1300,,,,,,,,,,,,,,,,,,,
38,67,嘉手苅浩太,530,,,,,,,,,,,,,,,,,,,
39,68,丸山翔大,300,4.05,22.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,25.0,8.44,12.0,12.0,20.0,3.0,16.0,2.0,5.4
40,69,今野龍太,4200,3.77,26.0,1.0,0.0,31.0,1.0,0.0,0.0,0.0,2.0,13.0,3.77,13.0,13.0,31.0,4.0,10.0,2.0,2.9
41,99,エスピナル,9100,5.4,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,7.2,3.0,3.0,1.0,1.0,5.0,0.0,9.0
