,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,曽根海成,1300,0.143,39.0,15.0,14.0,2.0,1.0,0.0,0.0,3.0,6.0,0.0,3.0,1.0,0.0,1.0,0.2,0.214,0.414,0.2
1,0,上本崇司,2900,0.259,84.0,276.0,247.0,64.0,7.0,1.0,1.0,76.0,20.0,17.0,46.0,12.0,9.0,8.0,0.317,0.308,0.625,0.167
2,2,田中広輔,3000,0.228,111.0,253.0,224.0,51.0,10.0,0.0,6.0,79.0,28.0,28.0,48.0,25.0,1.0,2.0,0.308,0.353,0.661,0.19
3,5,西川龍馬,12000,0.305,109.0,443.0,416.0,127.0,20.0,1.0,9.0,176.0,48.0,56.0,52.0,21.0,1.0,7.0,0.337,0.423,0.76,0.117
4,7,堂林翔太,5000,0.273,100.0,284.0,260.0,71.0,13.0,0.0,12.0,120.0,29.0,35.0,72.0,19.0,0.0,1.0,0.323,0.462,0.784,0.254
5,9,秋山翔吾,15000,0.274,115.0,483.0,434.0,119.0,20.0,6.0,4.0,163.0,48.0,38.0,81.0,35.0,4.0,8.0,0.333,0.376,0.709,0.168
6,10,ライアン・マクブルーム,19000,0.221,70.0,259.0,226.0,50.0,12.0,0.0,6.0,80.0,21.0,31.0,56.0,28.0,1.0,1.0,0.305,0.354,0.659,0.216
7,22,中村奨成,800,0.15,18.0,20.0,20.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.15,0.15,0.3,0.35
8,27,會澤翼,14000,0.172,54.0,133.0,116.0,20.0,4.0,0.0,1.0,27.0,6.0,10.0,26.0,10.0,4.0,0.0,0.26,0.233,0.492,0.195
9,31,坂倉将吾,9500,0.266,120.0,448.0,395.0,105.0,19.0,1.0,12.0,162.0,48.0,44.0,67.0,47.0,3.0,3.0,0.347,0.41,0.757,0.15
10,32,石原貴規,1000,,,,,,,,,,,,,,,,,,,
11,33,菊池涼介,30000,0.258,120.0,485.0,442.0,114.0,17.0,0.0,5.0,146.0,51.0,27.0,68.0,32.0,2.0,7.0,0.31,0.33,0.641,0.14
12,35,三好匠,1200,,,,,,,,,,,,,,,,,,,
13,37,野間峻祥,5000,0.286,108.0,418.0,371.0,106.0,11.0,1.0,0.0,119.0,37.0,26.0,51.0,33.0,5.0,5.0,0.351,0.321,0.672,0.122
14,38,宇草孔基,1200,,,,,,,,,,,,,,,,,,,
15,40,磯村嘉孝,2100,0.207,25.0,32.0,29.0,6.0,1.0,0.0,1.0,10.0,2.0,4.0,10.0,1.0,1.0,0.0,0.258,0.345,0.603,0.312
16,44,林晃汰,1200,0.207,20.0,62.0,58.0,12.0,4.0,0.0,1.0,19.0,5.0,5.0,20.0,3.0,1.0,0.0,0.258,0.328,0.586,0.323
17,50,中村健人,1600,,,,,,,,,,,,,,,,,,,
18,51,小園海斗,4000,0.286,80.0,306.0,290.0,83.0,11.0,7.0,6.0,126.0,25.0,31.0,38.0,10.0,2.0,8.0,0.315,0.434,0.749,0.124
19,52,末包昇大,1300,0.273,65.0,146.0,139.0,38.0,6.0,0.0,11.0,77.0,16.0,27.0,40.0,6.0,1.0,0.0,0.308,0.554,0.862,0.274
20,54,韮澤雄也,600,0.14,45.0,55.0,50.0,7.0,2.0,0.0,0.0,9.0,5.0,3.0,13.0,5.0,0.0,0.0,0.218,0.18,0.398,0.236
21,55,松山竜平,6500,0.252,79.0,156.0,143.0,36.0,9.0,0.0,0.0,45.0,5.0,27.0,27.0,10.0,1.0,0.0,0.301,0.315,0.616,0.173
22,56,久保修,600,,,,,,,,,,,,,,,,,,,
23,57,持丸泰輝,550,,,,,,,,,,,,,,,,,,,
24,59,大盛穂,1300,0.152,59.0,71.0,66.0,10.0,2.0,0.0,1.0,15.0,10.0,5.0,22.0,2.0,2.0,4.0,0.2,0.227,0.427,0.31
25,60,田村俊介,500,0.364,10.0,22.0,22.0,8.0,2.0,0.0,0.0,10.0,3.0,0.0,6.0,0.0,0.0,0.0,0.364,0.455,0.818,0.273
26,61,矢野雅哉,1100,0.185,93.0,146.0,119.0,22.0,2.0,0.0,0.0,24.0,22.0,3.0,35.0,14.0,0.0,7.0,0.269,0.202,0.47,0.24
27,62,清水叶人,500,,,,,,,,,,,,,,,,,,,
28,63,内田湘大,600,,,,,,,,,,,,,,,,,,,
29,64,高木翔斗,500,,,,,,,,,,,,,,,,,,,
30,69,羽月隆太郎,1400,0.149,50.0,53.0,47.0,7.0,1.0,0.0,0.0,8.0,10.0,4.0,12.0,4.0,0.0,14.0,0.216,0.17,0.386,0.226
31,95,マット・デビッドソン,7700,0.21,112.0,381.0,348.0,73.0,16.0,1.0,19.0,148.0,34.0,44.0,120.0,22.0,9.0,0.0,0.273,0.425,0.698,0.315
32,97,中村貴浩,300,0.176,15.0,37.0,34.0,6.0,1.0,0.0,0.0,7.0,3.0,3.0,10.0,1.0,1.0,1.0,0.216,0.206,0.422,0.27
33,99,二俣翔一,500,,,,,,,,,,,,,,,,,,,
34,121,名原典彦,300,,,,,,,,,,,,,,,,,,,
35,124,木下元秀,300,,,,,,,,,,,,,,,,,,,
36,127,前川誠太,300,,,,,,,,,,,,,,,,,,,
